product_sku,sale_date,quantity_sold,unit_price,total_amount
PROD002,2026-05-16,5,1.5,7.5
PROD003,2026-05-16,15,5,75
PROD004,2026-05-16,19,4,76
PROD005,2026-05-16,17,6.5,110.5
PROD006,2026-05-16,17,2,34
PROD002,2026-05-17,14,1.5,21
PROD003,2026-05-17,11,5,55
PROD004,2026-05-17,21,4,84
PROD005,2026-05-17,20,6.5,130
PROD006,2026-05-17,12,2,24
PROD002,2026-05-18,12,1.5,18
PROD003,2026-05-18,15,5,75
PROD004,2026-05-18,7,4,28
PROD005,2026-05-18,21,6.5,136.5
PROD006,2026-05-18,11,2,22
PROD002,2026-05-19,15,1.5,22.5
PROD003,2026-05-19,19,5,95
PROD004,2026-05-19,19,4,76
PROD005,2026-05-19,18,6.5,117
PROD006,2026-05-19,12,2,24
PROD002,2026-05-20,12,1.5,18
PROD003,2026-05-20,7,5,35
PROD004,2026-05-20,6,4,24
PROD005,2026-05-20,13,6.5,84.5
PROD006,2026-05-20,23,2,46
PROD002,2026-05-21,11,1.5,16.5
PROD003,2026-05-21,5,5,25
PROD004,2026-05-21,15,4,60
PROD005,2026-05-21,20,6.5,130
PROD006,2026-05-21,11,2,22
PROD002,2026-05-22,18,1.5,27
PROD003,2026-05-22,24,5,120
PROD004,2026-05-22,23,4,92
PROD005,2026-05-22,12,6.5,78
PROD006,2026-05-22,21,2,42
PROD002,2026-05-23,10,1.5,15
PROD003,2026-05-23,13,5,65
PROD004,2026-05-23,15,4,60
PROD005,2026-05-23,12,6.5,78
PROD006,2026-05-23,8,2,16
PROD002,2026-05-24,24,1.5,36
PROD003,2026-05-24,14,5,70
PROD004,2026-05-24,11,4,44
PROD005,2026-05-24,5,6.5,32.5
PROD006,2026-05-24,9,2,18
PROD002,2026-05-25,24,1.5,36
PROD003,2026-05-25,14,5,70
PROD004,2026-05-25,12,4,48
PROD005,2026-05-25,13,6.5,84.5
PROD006,2026-05-25,21,2,42
PROD002,2026-05-26,18,1.5,27
PROD003,2026-05-26,8,5,40
PROD004,2026-05-26,5,4,20
PROD005,2026-05-26,23,6.5,149.5
PROD006,2026-05-26,13,2,26
